102041	grmpy	15.146
103679	grmpy	16.000
104235	grmpy	14.087
105176	grmpy	13.460
105767	grmpy	16.000
105860	grmpy	13.552
105979	grmpy	16.000
106039	grmpy	9.996
106071	grmpy	16.000
106246	grmpy	16.000
106331	grmpy	13.793
106880	grmpy	16.000
109521	grmpy	16.000
109646	grmpy	15.553
109735	grmpy	13.296
110168	grmpy	14.694
110828	grmpy	11.030
112061	grmpy	14.808
112126	grmpy	16.000
112249	grmpy	12.532
112332	grmpy	8.778
112694	grmpy	14.729
113111	grmpy	15.144
114709	grmpy	13.296
114713	grmpy	16.000
114990	grmpy	15.524
116019	grmpy	2.809
116051	grmpy	16.000
116210	grmpy	15.603
116354	grmpy	16.000
116360	grmpy	13.588
117226	grmpy	13.851
117397	grmpy	12.879
118393	grmpy	15.606
118864	grmpy	15.599
118990	grmpy	14.402
119302	grmpy	16.000
119791	grmpy	13.841
120217	grmpy	14.524
121001	grmpy	12.602
121085	grmpy	15.606
121407	grmpy	13.045
121476	grmpy	10.358
121670	grmpy	15.586
122522	grmpy	11.888
122528	grmpy	16.000
122801	grmpy	10.298
122916	grmpy	15.010
125511	grmpy	16.000
125535	grmpy	5.119
125554	grmpy	13.710
126176	grmpy	14.806
126554	grmpy	15.173
126903	grmpy	16.000
127008	grmpy	15.592
127305	grmpy	15.283
127417	grmpy	15.623
127542	grmpy	13.150
127611	grmpy	13.031
128061	grmpy	12.882
128154	grmpy	14.548
129405	grmpy	7.702
129720	grmpy	16.000
129926	grmpy	14.740
130211	grmpy	16.000
130687	grmpy	15.254
130759	grmpy	16.000
130896	grmpy	13.926
131224	grmpy	13.259
13186	grmpy	15.352
132224	grmpy	12.921
132657	grmpy	14.374
139272	grmpy	11.368
81760	grmpy	15.476
82051	grmpy	15.116
82063	grmpy	16.000
82492	grmpy	15.621
82790	grmpy	16.000
83010	grmpy	13.454
83454	grmpy	12.810
83999	grmpy	16.000
84103	grmpy	14.785
84354	grmpy	16.000
84688	grmpy	16.000
84761	grmpy	16.000
84973	grmpy	16.000
85083	grmpy	13.259
85173	grmpy	12.227
85369	grmpy	16.000
85853	grmpy	12.498
86287	grmpy	15.571
86350	grmpy	15.620
86444	grmpy	15.613
86924	grmpy	11.140
87135	grmpy	15.240
87346	grmpy	16.000
87457	grmpy	16.000
87538	grmpy	12.760
87563	grmpy	15.218
87601	grmpy	15.625
87646	grmpy	16.000
87804	grmpy	13.843
87990	grmpy	12.889
88209	grmpy	16.000
88402	grmpy	13.897
88608	grmpy	15.386
88770	grmpy	14.971
89377	grmpy	14.460
90060	grmpy	15.580
90077	grmpy	9.725
90262	grmpy	9.784
90281	grmpy	16.000
90683	grmpy	16.000
91919	grmpy	13.696
91962	grmpy	16.000
92193	grmpy	14.522
92211	grmpy	15.536
99352	grmpy	12.987
92927	grmpy	10.541
93051	grmpy	15.608
93169	grmpy	16.000
93278	grmpy	15.184
93292	grmpy	15.579
93406	grmpy	14.248
93549	grmpy	10.957
93734	grmpy	14.058
93787	grmpy	16.000
93856	grmpy	15.626
94848	grmpy	13.510
95015	grmpy	13.645
95460	grmpy	11.113
96659	grmpy	15.107
97092	grmpy	12.434
97271	grmpy	8.097
97485	grmpy	9.854
97994	grmpy	12.231
98314	grmpy	15.636
98394	grmpy	13.832
98567	grmpy	14.328
98831	grmpy	15.062
98871	grmpy	16.000
99352	grmpy	11.543
99604	grmpy	15.641
99949	grmpy	15.613
99964	grmpy	15.615
